,광역시도,시군,pop,moon,hong,ahn
42,대구광역시,동구,226510,"47,350(20.99)","100,166(44.41)","31,351(13.90)"
43,대구광역시,서구,127659,"22,004(17.32)","68,782(54.15)","17,808(14.02)"
44,대구광역시,남구,100059,"19,862(19.94)","50,304(50.51)","13,978(14.03)"
45,대구광역시,북구,276725,"62,526(22.69)","121,368(44.05)","42,369(15.37)"
46,대구광역시,수성구,285528,"64,922(22.82)","123,074(43.26)","43,698(15.36)"
47,대구광역시,달서구,374766,"82,726(22.17)","165,781(44.43)","57,956(15.53)"
48,대구광역시,달성군,137920,"31,753(23.13)","60,032(43.73)","21,427(15.60)"
49,인천광역시,중구,69220,"28,030(40.63)","16,139(23.39)","15,405(22.32)"
50,인천광역시,동구,44672,"16,501(37.10)","11,446(25.73)","10,479(23.56)"
51,인천광역시,남구,254020,"96,338(38.07)","60,603(23.95)","61,034(24.12)"
52,인천광역시,연수구,208175,"85,853(41.38)","41,920(20.20)","48,166(23.21)"
53,인천광역시,남동구,327425,"136,132(41.73)","66,178(20.28)","77,693(23.81)"
54,인천광역시,부평구,345398,"146,859(42.68)","66,560(19.34)","82,590(24.00)"
55,인천광역시,계양구,205824,"88,890(43.35)","37,234(18.16)","48,622(23.71)"
56,인천광역시,서구,306672,"132,399(43.32)","56,236(18.40)","72,248(23.64)"
57,인천광역시,강화군,43938,"12,153(27.86)","17,041(39.07)","9,559(21.91)"
